,Wort,difference
0,Resolution,-90.49242424242425
1,Perspektive,-88.8741134751773
2,Spiel,-84.62009803921568
3,zugleich,-83.13172043010752
4,drohen,-82.56944444444444
5,Anträg,-80.63271604938271
6,warum,-79.88782051282051
7,angeblich,-78.21180555555554
8,Fortschritt,-77.26449275362319
9,9,-76.23106060606061
10,Sicherheitsbehörde,-76.23106060606061
11,geschehen,-76.23106060606061
12,verlässlich,-75.09920634920636
13,Roth,-75.09920634920636
14,ausgerechnet,-75.09920634920636
15,Unionsfraktion,-73.85416666666666
16,Dialog,-73.85416666666666
17,treffen,-73.41101694915254
18,furchtbar,-73.18376068376068
19,Abgeordnete,-73.18376068376068
20,1938,-72.47807017543859
21,geraten,-72.47807017543859
22,wann,-72.47807017543859
23,zehn,-70.94907407407408
24,Rafah,-70.94907407407408
25,wesentlich,-70.94907407407408
26,perfide,-70.94907407407408
27,Linie,-70.94907407407408
28,Palästinenserinn,-70.94907407407408
29,Hunderttausend,-70.94907407407408
30,schließen,-70.11904761904762
31,Gerechtigkeit,-69.24019607843137
32,Eltern,-69.24019607843137
33,worum,-69.24019607843137
34,Erfahrung,-69.24019607843137
35,Aufbau,-69.24019607843137
36,Skandal,-69.24019607843137
37,infragen,-69.24019607843137
38,Polen,-69.24019607843137
39,außerhalb,-69.24019607843137
40,bewahren,-69.24019607843137
41,rechtsextrem,-69.24019607843137
42,bieten,-68.3080808080808
43,Katastrophe,-67.31770833333333
44,blicken,-67.31770833333333
45,Versorgung,-67.31770833333333
46,6,-67.31770833333333
47,schlicht,-67.31770833333333
48,Betroffene,-67.31770833333333
49,schlimm,-67.31770833333333
50,Bündni,-67.31770833333333
51,Zuwanderung,-67.31770833333333
52,obwohl,-67.31770833333333
53,erklären,-67.31770833333333
54,Video,-67.31770833333333
55,weg,-67.31770833333333
56,anderer,-66.7989417989418
57,zuletzt,-65.89673913043478
58,Fachkräft,-65.13888888888889
59,Nazi,-65.13888888888889
60,ausweiten,-65.13888888888889
61,Flächenbrand,-65.13888888888889
62,verhandeln,-65.13888888888889
63,geäußern,-65.13888888888889
64,tatsächlich,-65.13888888888889
65,Künstl,-65.13888888888889
66,einstehen,-65.13888888888889
67,versprechen,-65.13888888888889
68,existieren,-65.13888888888889
69,Wunsch,-65.13888888888889
70,Abkommen,-65.13888888888889
71,erforderlich,-65.13888888888889
72,ernst,-64.3465909090909
73,Nato,-63.93678160919539
74,ideologisch,-62.64880952380952
75,Völkerrecht,-62.64880952380952
76,Kolumbien,-62.64880952380952
77,ringen,-62.64880952380952
78,zivilgesellschaftlich,-62.64880952380952
79,rassistisch,-62.64880952380952
80,Zuhörer,-62.64880952380952
81,Selbstverständlichkeit,-62.64880952380952
82,handlungsfähig,-62.64880952380952
83,beantworten,-62.64880952380952
84,Wiederaufbau,-62.64880952380952
85,Zweistaatenlösung,-61.73780487804878
86,sogenannt,-61.265432098765416
87,bitte,-61.265432098765416
88,unterschiedlich,-60.78125
89,Ampel,-60.78125
90,spät,-59.775641025641015
91,vollkommen,-59.775641025641015
92,70,-59.775641025641015
93,Munition,-59.775641025641015
94,anstatt,-59.775641025641015
95,Jugend,-59.775641025641015
96,vorsehen,-59.775641025641015
97,8,-59.775641025641015
98,gewährleistet,-59.775641025641015
99,Bürgergeld,-59.775641025641015
100,zählen,-59.775641025641015
101,nahezu,-59.775641025641015
102,Spd,-59.775641025641015
103,Welle,-59.775641025641015
104,Häuser,-59.775641025641015
105,Geflüchtete,-59.775641025641015
106,Demokratiefördergesetz,-59.775641025641015
107,Integration,-59.775641025641015
108,olympisch,-59.775641025641015
109,Fälle,-59.775641025641015
110,Voraussetzung,-59.775641025641015
111,Jerusalem,-59.775641025641015
