,Wort,difference
0,sprechen,-88.64248206739818
1,Region,-88.46220400497592
2,Einsatz,-83.47997391621553
3,Stelle,-81.51997082152924
4,Beitrag,-76.80166549936648
5,vielleicht,-72.39691844228417
6,konkret,-72.39691844228417
7,Gespräch,-71.6799552849409
8,unser,-71.18092366000594
9,Soldatin,-70.92475409253933
10,arbeiten,-70.53184536406013
11,verhindern,-69.28671206958381
12,ansprechen,-68.847950813435
13,stark,-68.847950813435
14,Milliarde,-68.847950813435
15,Partner,-67.4530829394097
16,Herausforderung,-66.95994783243106
17,Berlin,-66.45163933754539
18,Bild,-65.92744620219453
19,Bereich,-65.92744620219453
20,Bedrohung,-65.92744620219453
21,europäisch,-65.568787741165
22,wichtig,-65.20249824904973
23,Parlament,-64.82833156355564
24,Projekt,-64.82833156355564
25,dankbar,-64.25174683508935
26,öffentlich,-63.65594261567417
27,Rahmen,-63.65594261567417
28,Soldat,-62.72404370838375
29,Euro,-62.72404370838375
30,liegen,-62.40269925759397
31,Signal,-62.40269925759397
32,demokratisch,-62.40269925759397
33,Entwicklung,-62.40269925759397
34,darauf,-62.07576620766
35,natürlich,-61.965521341984584
36,verstehen,-61.74309749018334
37,jung,-61.74309749018334
38,Wort,-61.74309749018334
39,arabisch,-61.74309749018334
40,schwierig,-61.05993851679375
41,heute,-60.960347566708826
42,gesellschaftlich,-60.35193739891727
43,eben,-60.35193739891727
44,tief,-60.35193739891727
45,Mission,-59.617714017415736
46,Unrwa,-59.617714017415736
47,gar,-59.24030947552243
48,uns,-58.54290032206179
49,Punkt,-58.06454917193173
50,darüb,-58.06454917193173
51,zusammen,-58.06454917193173
52,Schritt,-58.06454917193173
53,wir,-58.01408533218676
54,etwa,-57.242285430204895
55,Hisbollah,-57.0316562943931
56,bitten,-56.38713113880901
57,Regime,-55.497072590621414
58,sowie,-55.497072590621414
59,gestern,-55.497072590621414
60,gelingen,-55.497072590621414
61,Tag,-55.130793352684144
62,erwarten,-54.56992826959271
63,schauen,-54.56992826959271
64,2022,-54.56992826959271
65,oder,-53.60333099873297
66,erfolgreich,-53.60333099873297
67,Bund,-53.60333099873297
68,mich,-53.104442084740846
69,diskutieren,-52.594707759574995
70,dabei,-52.594707759574995
71,beschließen,-52.594707759574995
72,Terror,-52.594707759574995
73,ernst,-52.594707759574995
74,Unterstützung,-52.248683728622986
75,dazu,-52.17887186272917
76,entsprechend,-51.54125682089889
77,libanesisch,-50.996776560459544
78,offen,-50.43992174864658
79,umsetzen,-50.43992174864658
80,betreffen,-50.43992174864658
81,Folge,-50.43992174864658
82,Terrororganisation,-50.43992174864658
83,Platz,-49.28736178931278
84,Feind,-49.28736178931278
85,Volk,-49.28736178931278
86,Sorge,-49.28736178931278
87,islamisch,-49.28736178931278
88,Blick,-48.69074251624588
89,da,-48.488737565522435
90,Streitkräft,-48.07991802239167
91,Stimme,-46.81357455952316
92,Woche,-46.81357455952316
93,genau,-46.81357455952316
94,nämlich,-46.156952023220974
95,mal,-46.023677151991336
96,wo,-45.934460089432626
97,gut,-45.63492801236578
98,insbesondere,-45.48391392351124
99,lieben,-45.48391392351124
100,Gesetz,-45.48391392351124
101,Europa,-45.14104545762138
102,erst,-44.9332463873851
103,gemeinsam,-44.69382571950416
104,etwas,-44.5599124645877
105,Documenta,-44.086065562575634
106,freuen,-44.086065562575634
107,Wirtschaft,-44.086065562575634
108,Land,-43.95542552884333
109,gelten,-43.72533050168903
110,Wäre,-43.60404888639094
111,darüber,-43.359910569881805
112,schon,-43.042895143966966
113,beide,-42.614646235274996
114,Mal,-42.614646235274996
115,frei,-42.614646235274996
116,Kraft,-42.614646235274996
117,je,-42.614646235274996
118,damit,-42.179908706754354
119,Unifil,-42.10681124620663
120,Zusammenarbeit,-41.849508185078655
121,derjenige,-41.849508185078655
122,wer,-41.849508185078655
123,Organisation,-41.063690728120264
124,hinaus,-41.063690728120264
125,Linie,-41.063690728120264
126,fühlen,-41.063690728120264
127,Grundlage,-41.063690728120264
128,umso,-41.063690728120264
129,Marine,-41.063690728120264
130,Jahrzehnt,-41.063690728120264
131,Sicherheit,-40.835255420864925
132,richtig,-40.66276345416189
133,Ziel,-40.527906098375894
134,Ort,-39.98229055799403
135,zwar,-39.4265710261236
136,national,-39.4265710261236
137,lernen,-39.4265710261236
138,Beziehung,-39.4265710261236
139,erreichen,-39.4265710261236
140,bewusst,-39.4265710261236
141,leisten,-38.860464213283635
142,Zentralrat,-37.69590162687
143,einzeln,-37.69590162687
144,finanziell,-37.69590162687
145,Bundesrepublik,-37.69590162687
146,Beispiel,-37.2476707033223
147,letzt,-36.131782002439955
148,Mitte,-35.863428145307346
149,Heimat,-35.863428145307346
150,derzeit,-35.863428145307346
151,bieten,-35.863428145307346
